Date,COT_Open_Interest,COT_NonComm_Long,COT_NonComm_Short,COT_NetSpec
2017-04-25,667987,280182,83923,196259
2017-05-02,656510,269482,84476,185006
2017-05-09,637559,222393,81007,141386
2017-05-16,640232,210705,90449,120256
2017-05-23,697601,239655,80045,159610
2017-05-30,625626,253634,81826,171808
2017-06-06,728589,319033,104932,214101
2017-06-13,682626,300066,102945,197121
2017-06-20,650158,251826,100240,151586
2017-06-27,634481,234322,102165,132157
2017-07-03,650201,214572,123891,90681
2017-07-11,677637,206889,151855,55034
2017-07-18,686311,212660,154615,58045
2017-07-25,673706,219210,126875,92335
2017-08-01,652786,244336,108695,135641
2017-08-08,637727,244193,94351,149842
2017-08-15,694319,276766,84935,191831
2017-08-22,741455,294775,79323,215452
2017-08-29,790158,329175,82736,246439
2017-09-05,860258,349610,84689,264921
2017-09-12,855055,360861,86441,274420
2017-09-19,824227,336962,84186,252776
2017-09-26,764017,312622,84605,228017
2017-10-03,736096,290944,78464,212480
2017-10-10,743032,288982,74443,214539
2017-10-17,746761,288767,79121,209646
2017-10-24,742440,278192,79596,198596
2017-10-31,725380,269343,72657,196686
2017-11-07,731832,275021,73669,201352
2017-11-14,740799,277018,74549,202469
2017-11-21,735317,274718,68971,205747
2017-11-28,667490,294975,59766,235209
2017-12-05,642172,254655,74588,180067
2017-12-12,633192,196653,90067,106586
2017-12-19,629799,193343,76845,116498
2017-12-26,622956,204260,65367,138893
2018-01-02,691269,246679,74658,172021
2018-01-09,747536,292883,80822,212061
2018-01-16,813562,307693,83388,224305
2018-01-23,820887,309695,79888,229807
2018-01-30,777810,308903,83116,225787
2018-02-06,760071,285575,77404,208171
2018-02-13,746321,264687,72237,192450
2018-02-20,774163,269719,62493,207226
2018-02-27,726602,255633,72111,183522
2018-03-06,723005,255216,61879,193337
2018-03-13,732155,238550,63987,174563
2018-03-20,755377,223456,70140,153316
2018-03-27,740664,267781,55903,211878
2018-04-03,702091,241458,68277,173181
2018-04-10,725402,245285,81058,164227
2018-04-17,745971,249337,75420,173917
2018-04-24,731775,229195,87282,141913
